alpha,poisson_weight,mean_accuracy,mean_macro_f1,mean_log_loss
0.05,0.75,0.5429824561403509,0.3990322820135332,0.9682970347149494
0.05,0.5,0.5491228070175439,0.40439440282874567,0.9685981294648515
0.05,1.0,0.543859649122807,0.4002468546699647,0.9688298022410438
0.25,0.5,0.543859649122807,0.40000973350458163,0.9690152548684577
0.25,0.75,0.543859649122807,0.400373575384108,0.9692987479700964
0.05,0.25,0.5482456140350878,0.4032487157655596,0.9697570038418055
0.25,0.25,0.5482456140350878,0.4033010985469978,0.9698272944340541
0.5,0.5,0.5447368421052632,0.4006393208143955,0.9700322856059254
0.5,0.25,0.5482456140350878,0.403295216216312,0.9700736965396644
1.0,0.25,0.5482456140350878,0.40348491305893947,0.970594556539765
0.25,1.0,0.5482456140350878,0.4038256016083735,0.9706273426063065
0.5,0.75,0.5491228070175439,0.4047809077058677,0.9715385168923442
2.0,0.25,0.5482456140350878,0.40348491305893947,0.9715700531087964
1.0,0.5,0.5464912280701755,0.4026002249989442,0.9720577985902205
0.5,1.0,0.5535087719298245,0.4088515958092123,0.9745052779458425
2.0,0.5,0.543859649122807,0.40058093763323216,0.9756104129464153
1.0,0.75,0.5508771929824562,0.40650418178008757,0.9758926222031339
1.0,1.0,0.5473684210526316,0.40429002375265416,0.9819496542736248
2.0,0.75,0.5491228070175439,0.40569282477183505,0.9833364133234316
2.0,1.0,0.5473684210526316,0.4054645377156363,0.9945362001153283
